AGE,EDCL,MARRIED,KIDS,OCCAT,INCOME,RISK,NETWORTH,TrueRiskTol,RiskCluster
43,1,1,2,3,42599.052212,0,12810.342913,18.05685708562668,2
48,3,1,2,2,397236.16187,1,3422650.2286,6.653080924136763,0
51,3,1,2,2,757198.15306,2,44029469.628,9.65207957457439,0
36,3,0,0,3,51118.862654,2,45379.888961,22.92478918560452,2
30,0,1,4,3,44729.004822,0,17770.85565,49.78119887400506,1
48,2,1,0,3,99042.796392,1,337294.15415,17.991134084272268,2
34,2,1,2,3,90522.98595,1,215922.10973,26.30486381099252,2
61,3,1,0,2,1235372.5141,2,18559981.058,1.745457592978707,0
45,3,1,3,3,173591.13776,1,395701.86153,24.277647077489043,2
40,1,1,3,3,61768.625707,1,231300.73481,24.968568006104427,2
65,0,0,0,1,27689.383938,0,296543.38668,0.8354098742774527,0
61,3,0,1,3,62833.602012,0,39766.949706,4.175991165854301,0
48,3,1,2,3,69223.459844,1,268913.64141,24.9578644568242,2
54,3,0,1,3,79873.222897,1,656051.11039,4.279958438939336,0
43,2,1,2,3,127797.15664,1,192382.97518,20.667629497018392,2
86,1,1,0,3,3747651.6183,2,114780465.38,0.7202403481610782,0
52,3,1,2,3,151226.63535,0,241915.61071,9.788375128737082,0
31,3,1,2,3,117147.39358,2,-26925.53886,59.566439889642055,1
54,3,1,0,2,5324881.5265,2,42418183.246,8.31256586469258,0
54,3,1,0,2,510123.65024,1,5628473.2201,5.36766398797015,0
48,3,0,0,3,58573.696791,0,74418.047028,13.708589322004483,2
49,3,1,2,2,194890.66387,1,3845898.9876,5.380498613464705,0
40,3,1,2,3,234294.78716,1,635339.15741,19.15499919137661,2
62,1,1,1,2,55378.767875,0,179572.63227,4.341651231619405,0
63,2,1,1,2,1725261.6146,0,62130680.927,0.6223261478536495,0
69,1,1,0,1,10649.763053,0,210019.20314,2.8135435845123773,0
55,3,1,1,2,1036221.9451,1,4172630.0457,4.419738918311352,0
36,1,0,0,2,56443.744181,1,395080.50294,6.137162187483842,0
54,3,1,1,3,154421.56427,1,1219209.1117,15.791469794337518,2
61,3,1,3,2,1448367.7752,1,12098887.329,3.1341546722624862,0
64,2,0,0,3,25559.431327,0,106355.87851,1.2211828919279342,0
64,3,1,0,2,4164057.3537,2,126483754.41,1.463421763872344,0
50,3,1,3,3,106497.63053,0,233527.26976,7.333110609073159,0
63,2,1,1,2,1725261.6146,0,62130680.927,0.6223822130890824,0
71,1,1,0,1,2129952.6106,2,45391280.536,0.5317869937935558,0
73,3,1,0,2,1139524.6467,1,20146516.656,0.531376642205534,0
71,3,1,0,1,8603943.5705,2,319039674.4,0.5026021816718906,0
65,3,0,0,3,80938.199202,2,497501.11039,1.4406475259177285,0
66,3,1,1,2,3727417.0685,2,56752822.338,0.7091459844839476,0
40,3,1,1,3,93717.914866,2,206083.93207,27.75101950507102,2
68,2,1,0,1,1682662.5624,1,118539684.85,0.7380990688181303,0
36,1,1,2,3,149096.68274,0,176672.95885,27.18971701777867,2
57,3,1,0,1,189991.77286,3,1579389.9739,8.327000030235158,0
45,3,1,3,2,2076703.7953,2,58937933.377,4.156330692810292,0
37,3,1,1,3,207670.37953,2,549902.3514,38.42963170310004,1
63,3,1,0,1,105432.65422,1,2408002.7204,0.9991343358904752,0
65,2,0,1,1,8200.3175508,0,64683.429131,0.9697936243556108,0
35,1,1,2,2,66028.530928,1,223554.4644,31.677360624572543,2
60,3,1,0,3,117147.39358,2,798963.58589,2.8145105672484183,0
59,3,1,1,2,118212.36989,1,595230.46048,2.626585410882172,0
57,3,1,0,3,266244.07632,1,3727323.0568,1.9840256788587007,0
54,3,1,0,3,402561.0434,1,1169189.7453,7.548007041480501,0
39,3,1,3,2,6325959.2534,2,72239149.575,8.559033392133188,0
59,1,0,0,1,14909.668274,0,71559.797518,2.149343398241208,0
45,0,1,2,3,94782.891171,1,590912.01829,11.236542232196175,0
77,3,0,0,1,3189604.0344,2,37109606.14,0.4615192875134769,0
65,3,1,0,3,220450.0952,2,1178924.3632,2.394411285046992,0
64,3,1,0,2,4430301.43,2,74992803.723,1.5754377517660871,0
39,2,1,2,0,51118.862654,1,85281.466362,14.897342899805306,2
51,3,0,0,3,116082.41728,1,859028.24951,7.136957196045623,0
34,1,0,2,3,41534.075906,3,165488.50425,14.968662445147569,2
59,3,1,2,3,2843486.7351,1,27177706.891,4.3389006780724095,0
60,3,1,0,3,128862.13294,2,1575661.8223,2.184776725143864,0
61,1,1,0,3,101172.749,1,625500.97975,3.557301735252384,0
65,2,1,1,3,80938.199202,1,75805.747877,1.5770858804884655,0
42,2,0,0,3,43664.028517,2,189151.91052,10.647748567407206,0
75,3,1,0,2,27327291.994,2,1068542081.0,0.5352384949577067,0
63,3,1,0,3,288608.57873,1,862652.84128,2.584409624159882,0
55,0,1,2,1,51118.862654,1,72377.91966,5.359627947539163,0
37,3,1,2,3,80938.199202,2,156634.14435,41.25086058786575,1
45,3,1,3,3,226839.95303,1,394666.26388,27.59800335423801,2
37,3,1,1,3,207670.37953,2,548866.75376,38.79640564628629,1
47,3,1,2,3,127797.15664,0,134803.74592,24.78973286731089,2
52,3,1,0,1,822161.70769,0,11011509.798,5.746768402473405,0
36,3,1,0,3,158681.46949,2,400154.93142,47.16018196127672,1
63,3,1,0,1,106497.63053,1,2398671.9856,1.0018781930882787,0
84,3,0,0,1,1821109.4821,2,35076624.396,0.4519929341537265,0
82,3,1,0,1,66028.530928,1,271947.94252,0.4736754807695853,0
37,2,0,0,3,44729.004822,2,2693.589484,59.0591892908153,1
42,3,1,0,3,298193.36548,1,1609318.7459,12.044407434545311,2
71,3,1,0,3,4206656.4059,1,104471090.79,0.5653128062980117,0
74,3,1,0,3,4547448.8236,2,75533385.696,0.4655911363636343,0
44,3,1,0,3,157616.49318,2,754640.00653,9.399156632161926,0
71,2,1,0,2,4781743.6108,1,224764042.46,0.5398647823689394,0
53,3,1,1,3,169331.23254,1,730096.34226,7.55675990275862,0
37,3,1,2,2,1160824.1728,1,8041933.5402,12.30077238514912,2
73,3,1,0,1,814706.87355,3,9699718.256,0.4686343575418649,0
68,1,1,0,1,78808.246592,1,3767504.2456,1.2740131296662591,0
61,0,1,0,1,22364.502411,0,21343.667538,5.173731787259522,0
48,3,1,3,3,161876.3984,1,620530.11104,9.469130966316715,0
38,3,1,2,3,93717.914866,1,850432.78903,12.736285395801982,2
69,3,1,0,3,2711429.6733,1,63937798.824,0.536530956274651,0
70,3,1,0,2,36017498.645,2,75602770.738,0.5135681469496413,0
40,3,1,2,3,91587.962255,1,122511.20183,31.79695661164148,2
68,1,1,0,1,39404.123296,0,365151.73089,0.7141160124945078,0
67,3,1,0,2,203410.47431,0,3268346.179,0.8326675442517169,0
58,3,1,0,3,168266.25624,1,371158.19726,7.917622142760713,0
63,1,0,0,3,36209.19438,0,29555.956891,3.456665731130782,0
30,1,1,1,3,181045.9719,1,778769.43174,32.911114033352085,2
82,3,1,0,1,342922.3703,1,9354553.5598,0.4895448369565371,0
67,1,0,0,1,25559.431327,1,546691.99869,1.322031315677271,0
49,3,1,2,3,340792.41769,1,3571776.29,4.804914074735409,0
52,3,1,1,3,247074.50283,1,1993732.5931,4.293043662655705,0
69,3,1,0,2,1885008.0604,2,34689414.435,0.7310308151276625,0
60,2,1,0,3,159746.44579,1,1140814.3697,2.241219506906256,0
80,0,1,0,1,82535.66366,1,3651310.1894,0.4706002747252444,0
52,3,1,0,3,109692.55945,1,1311066.6231,2.4425835876242674,0
67,0,1,0,1,33014.265464,1,869902.02482,1.1211084722136166,0
74,3,1,0,1,5844589.9635,1,98660766.623,0.4812447677962724,0
59,3,0,1,3,55378.767875,1,490251.92685,1.5370188626879564,0
63,3,1,0,1,9691.2843782,0,798549.34683,0.6615573536908632,0
61,3,1,0,3,128862.13294,1,662782.4951,2.325904327501637,0
44,2,0,0,3,42599.052212,1,62653.65774,15.550789660163776,2
45,0,1,3,3,34079.241769,0,155339.64729,5.085394233363976,0
68,3,1,1,2,411080.85384,1,8813453.7884,0.6990076716512903,0
66,3,0,0,2,96912.843782,0,2276243.6316,0.8427157451973302,0
66,3,1,0,2,4717845.0324,3,238595484.65,1.113281915765138,0
67,3,1,0,1,2204500.952,1,44308045.395,0.5885208269118828,0
82,3,1,0,3,1320570.6186,1,61741192.652,0.4661430481588555,0
62,3,1,0,2,69223.459844,0,389384.71587,5.391631075635277,0
82,3,1,0,2,53258187.056,1,342420051.83,0.4566450878420199,0
54,3,1,1,3,154421.56427,1,1219001.9922,15.857642371727144,2
48,3,1,1,3,118212.36989,1,753086.61006,6.176527312200814,0
43,3,1,2,3,144836.77752,2,556115.9373,16.716053082171396,2
72,3,1,0,2,1139524.6467,1,6798698.563,0.4785097402598099,0
48,3,1,1,2,713534.12455,2,2058768.1254,14.918205233287,2
31,3,1,0,3,67093.507233,1,1242.7171783,44.92121142289564,1
75,3,1,0,3,5431379.157,2,78756165.578,0.4526603819628132,0
67,0,1,0,1,33014.265464,1,681423.25278,1.1046556729070272,0
34,3,1,3,3,145901.75383,1,251815.92423,30.05943468462296,2
60,3,1,1,3,87328.057034,0,95585.662965,4.280703259912695,0
57,3,1,4,3,239619.66869,1,607378.0209,4.18604289731716,0
84,3,0,0,1,1831759.2451,2,40399492.75,0.4532563174239495,0
61,3,1,1,2,289673.55504,2,3367763.5532,1.963158988193845,0
81,1,0,0,1,40469.099601,0,347235.89157,25.780827067398207,2
61,3,1,0,3,218320.14259,2,2431065.4801,3.310912755994862,0
52,3,1,1,3,247074.50283,1,1982341.0189,4.30160614484566,0
51,3,0,0,3,34079.241769,1,69395.398432,6.038572830332541,0
33,1,0,0,3,53248.815265,2,34485.401698,42.74257946672152,1
61,1,1,0,1,751873.27154,0,30118286.414,0.6020919266810372,0
60,2,0,0,3,48988.910043,0,132038.7002,2.3607564790973847,0
59,3,1,0,3,115017.44097,2,293074.13455,6.286604765744232,0
63,3,1,0,1,9691.2843782,0,802898.85696,0.6622324581923467,0
62,3,1,1,3,607036.49402,2,8479473.5467,0.9771043894051454,0
73,3,1,0,1,39723.616187,0,588219.4644,0.8229984301416546,0
36,1,1,2,3,149096.68274,0,188064.53298,27.18971701777867,2
59,3,0,0,2,321622.8442,1,15187039.517,1.24514976871948,0
67,3,1,0,3,992557.91653,1,13891506.858,0.6992479567184275,0
50,1,0,0,3,30884.312854,0,102109.92815,8.25433140520342,0
69,3,1,0,1,88393.033339,1,2243104.5069,0.5669037818945739,0
70,3,1,0,2,55400067.401,2,1204648608.8,0.4819563070199149,0
43,3,1,3,3,212995.26106,1,663921.65251,13.821260476771974,2
64,3,1,0,2,1437718.0121,2,12218498.857,3.153224641121443,0
56,3,1,0,2,5324881.5265,2,27172011.104,6.260282751602901,0
42,2,1,1,3,76678.293981,0,136553.90594,24.67918209026248,2
43,3,0,0,3,50053.886349,0,282718.15807,8.812437088445204,0
31,2,1,1,3,151226.63535,3,249827.57675,58.46446703804647,1
78,1,1,0,1,38339.146991,1,44985844.056,0.4585272367487819,0
58,1,1,0,1,268374.02893,0,244090.36577,8.842706881712278,0
51,3,1,2,2,186370.85343,1,6830802.0901,1.602609650541539,0
50,3,1,2,3,133122.03816,1,595157.96865,7.3110372928434835,0
49,3,1,1,3,112887.48836,1,656051.11039,6.048220977922906,0
33,3,1,0,3,94782.891171,3,239740.85565,42.23694398471815,1
57,3,1,0,2,480304.31369,1,6585054.7681,2.172293046723709,0
56,3,1,0,3,157616.49318,1,661249.81058,7.655594579936146,0
39,2,0,0,3,107562.60683,1,236240.5356,30.81506663013573,2
66,2,1,0,1,681584.83539,2,21654346.832,0.6197700937710366,0
53,3,0,1,3,223645.02411,1,1273940.4474,8.538353912235642,0
68,3,1,0,2,108627.58314,1,325954.3599,1.0953030157052392,0
62,0,1,1,3,37274.170685,0,212504.63749,2.659454185352423,0
31,2,1,1,3,106497.63053,1,253307.18485,45.19184147655803,1
64,3,1,0,3,218320.14259,1,4298765.8393,1.0613903823952535,0
52,3,1,1,3,247074.50283,1,1983376.6166,4.30160614484566,0
39,3,1,3,3,106497.63053,1,293488.37361,24.083741198033835,2
47,1,1,1,3,79873.222897,2,178329.91509,13.076754993713315,2
55,3,1,1,2,77743.270286,1,1191610.4344,2.0964677252442696,0
55,0,0,1,3,23429.478716,1,46964.353364,3.366983315719135,0
56,3,1,0,2,6081014.7032,2,25294472.567,7.101494137342753,0
54,3,1,0,3,402561.0434,1,1168154.1476,7.548007041480501,0
44,3,0,1,3,88393.033339,1,124116.37818,16.960153043884297,2
87,2,0,0,2,1419187.4244,3,101259495.36,0.4550406926632727,0
65,3,1,0,2,3013882.944,2,92161977.139,0.6554238716386858,0
45,2,1,2,3,85198.104423,2,201630.86218,19.07711160631189,2
87,3,1,0,1,87328.057034,1,2008023.8406,0.4954133807090137,0
64,3,0,0,3,2811537.446,0,42671801.11,0.709363574826767,0
44,1,1,1,3,108627.58314,1,244401.04507,21.27937565919961,2
55,1,1,2,3,133122.03816,0,359455.94383,7.011557328395528,0
73,3,1,0,1,38658.639882,0,555287.45918,0.832331438905132,0
53,1,0,0,3,15974.644579,1,31886.0516,6.022922712568152,0
72,3,1,0,2,419387.66902,1,5040253.7557,0.4885320633915709,0
42,3,1,1,3,115017.44097,3,237358.98106,17.469074680863056,2
59,3,1,0,2,546332.84462,1,13896684.847,4.741725502044039,0
54,1,0,0,1,63898.578318,0,630368.2887,2.312987423738309,0
62,1,1,0,3,47923.933738,0,353863.71653,1.451363387427171,0
28,3,1,0,3,87328.057034,1,41931.348792,69.49440008361658,3
46,1,1,5,3,85198.104423,0,118834.83018,17.897412836998818,2
47,3,1,2,3,136316.96708,3,811908.5565,7.435011325706356,0
66,3,1,0,2,638985.78318,2,14190587.459,1.1500677025199355,0
53,1,1,0,3,88393.033339,0,373125.83279,11.031953021784512,0
53,3,1,1,2,212995.26106,0,12844828.315,1.9829351395869736,0
42,3,1,0,2,124602.22772,1,299598.39974,18.24284353711372,2
43,3,1,2,2,254529.33697,2,806937.68779,19.85746739619571,2
60,3,1,3,2,545267.86831,2,16748720.771,0.8987567284666425,0
63,1,1,0,1,37274.170685,1,90490.522534,2.5265721932724774,0
26,0,1,1,3,15974.644579,1,97346.178968,27.668685946831616,2
73,3,1,0,3,697559.47997,1,29231814.827,0.4871145696334427,0
30,3,1,1,3,153356.58796,2,-28675.69889,45.19956821121032,1
61,2,1,1,3,173591.13776,2,6103812.5408,1.1350959322091896,0
48,3,1,2,2,5495277.7353,1,126308738.41,14.40189375931762,2
39,2,1,2,3,95847.867476,1,79130.016329,15.261759141920647,2
45,2,1,2,3,156551.51688,2,1278963.096,15.291145592007602,2
61,3,1,2,2,3194928.9159,2,69151825.865,1.1522240445838088,0
55,3,1,0,2,2098003.3214,1,13625358.263,8.962352142430781,0
53,1,1,0,3,88393.033339,0,366912.2469,11.031953021784512,0
42,1,1,2,3,17039.620885,0,13773.448726,60.47904974136443,1
58,3,1,0,3,119277.34619,1,701441.35532,3.3321458115024614,0
68,3,1,1,2,410015.87754,1,8595978.2822,0.6990491816456951,0
76,3,1,0,2,33174011.91,3,372313924.23,0.4501223998136468,0
48,3,0,0,3,58573.696791,0,74407.691052,13.708589322004483,2
63,3,1,0,1,9797.7820087,0,802173.9386,0.6612577106713966,0
29,3,1,2,3,86263.080729,1,290795.81973,41.90645710926127,1
42,3,1,2,3,91587.962255,1,332841.08426,19.62616881431872,2
69,1,1,0,1,56443.744181,0,126239.35336,1.096394005384703,0
61,3,1,0,3,9361141.7235,1,121012692.03,7.216344318787092,0
70,3,1,0,2,2715689.5785,3,32118025.474,0.4608964285713018,0
58,1,1,0,2,111822.51206,2,2772294.9053,1.2171467908127227,0
50,3,1,1,3,111822.51206,1,82744.252123,21.93334989403849,2
64,1,1,1,1,53248.815265,1,436121.23775,1.3921083667013137,0
59,1,0,0,1,18104.59719,1,712698.30176,0.9506940819107956,0
39,0,1,2,3,42599.052212,0,103870.44415,20.54905147752981,2
48,3,1,0,3,127797.15664,1,350239.12476,11.503820118500265,0
39,3,1,2,3,106497.63053,2,668271.16264,14.297587102452216,2
52,1,1,2,0,198085.59278,2,694989.58197,9.57527555584043,0
71,3,1,0,1,117573.3841,1,3011517.9621,0.4545724137931034,0
27,3,1,0,3,109692.55945,2,82537.132593,56.63639819218432,1
82,1,1,0,2,3514421.8075,1,82139463.096,0.5133398228365533,0
71,2,1,0,1,53887.801048,2,3017731.548,0.5237398785424185,0
28,1,1,0,3,74548.341371,1,34796.080993,43.907807705350336,1
48,3,1,4,2,68382128.563,2,316031263.23,10.857196101618309,0
59,3,1,0,3,100107.7727,2,787675.57152,3.0006807000298306,0
50,1,0,0,3,30884.312854,0,102317.04768,7.689406307757283,0
49,3,0,0,3,173591.13776,1,596814.92489,10.30083447861778,0
56,1,0,0,3,40469.099601,0,209190.72502,3.3249172022325943,0
39,2,1,0,3,106497.63053,0,304362.14892,15.756181208455152,2
51,2,1,2,3,106497.63053,2,169630.89484,15.69357413217041,2
53,3,1,2,3,120342.3225,1,452038.37361,4.262753632385005,0
36,3,1,1,3,234294.78716,2,158653.55976,48.38226509551184,1
89,1,0,0,1,17039.620885,0,643934.6179,0.5830488188985942,0
45,2,1,2,3,119277.34619,1,55647.839647,25.8413501271288,2
46,3,1,3,3,1650713.2732,3,44176524.494,4.387589813045887,0
47,3,0,0,3,77743.270286,1,330977.00849,10.486879455503406,0
46,1,1,5,3,85198.104423,0,119404.40888,17.825975940093315,2
45,3,0,0,3,83068.151813,0,432569.13782,5.766108186915281,0
43,3,1,2,3,145901.75383,2,556115.9373,16.833489202151164,2
83,0,0,0,1,203623.46957,1,5725819.3991,0.5534166666666895,0
38,3,1,3,3,190630.75865,3,4040933.0927,22.041622411813663,2
69,1,1,0,1,33014.265464,0,111533.86675,1.0368196605568545,0
55,3,1,1,2,66028.530928,1,1192542.4722,1.9590606281396443,0
66,3,1,0,1,170396.20885,1,3473601.6329,1.1274032629145383,0
42,3,1,4,2,12396324.194,1,154883984.32,17.46789170013964,2
34,3,1,1,3,127797.15664,2,256206.85826,41.64161804821414,1
57,3,1,1,1,3056481.9962,2,111503834.42,0.8805867035624285,0
53,3,1,1,3,106497.63053,1,572685.49967,6.107857902196182,0
53,3,1,3,2,392976.25665,3,2588994.1215,13.460207285902635,2
69,3,1,0,2,1039416.874,1,24079716.525,0.6560233878589496,0
53,3,1,0,3,182110.94821,2,758057.47877,8.744813656039819,0
65,2,1,0,3,58573.696791,1,539028.57609,1.10423398557442,0
55,3,1,1,3,173591.13776,1,385138.76551,5.006650984565708,0
68,3,0,0,1,19169.573495,0,146951.30634,0.6953848575258779,0
55,3,0,0,3,40469.099601,2,30964.369693,3.1756326761123823,0
56,1,1,2,3,56443.744181,0,122407.64206,5.565946385112779,0
40,1,1,3,3,53248.815265,1,268892.92946,23.32440412147548,2
53,2,1,0,2,2523993.8435,1,198494036.9,4.87482315872307,0
46,1,1,2,3,56443.744181,0,45669.856303,16.32566977889395,2
58,2,0,0,3,46858.957433,1,219847.02482,3.697316197428667,0
40,1,1,4,3,69223.459844,2,324556.30307,31.31637705028704,2
57,3,1,4,3,239619.66869,1,535093.30503,4.429373241413467,0
61,3,1,0,3,218320.14259,2,2434814.3436,3.308322093484568,0
71,3,1,0,1,117147.39358,1,1665241.0189,0.6105535714283232,0
68,3,1,1,2,410015.87754,1,8878489.3207,0.6991515756871395,0
49,1,1,2,3,103302.70161,0,78643.285434,22.338057862712475,2
55,3,1,0,3,106497.63053,0,769449.05291,3.639333078979434,0
60,3,1,0,2,1490966.8274,1,23104183.54,1.43688360461678,0
94,1,1,0,1,2736989.1046,3,34089803.396,0.4537135370841704,0
32,3,1,1,2,200215.5454,3,1165047.3547,17.006926711110083,2
39,3,0,0,3,63898.578318,2,741436.13651,5.432027478002159,0
72,3,1,0,2,1139524.6467,1,6797662.9654,0.4785097402598099,0
67,3,1,0,3,1064976.3053,1,14754159.7,0.7938258200289702,0
55,3,1,0,3,126732.18033,2,963520.05225,7.111001166422922,0
56,0,0,1,3,23429.478716,0,178122.79556,2.6570396918262182,0
78,3,1,0,3,9222694.8038,2,181781147.81,0.4515879773728247,0
59,3,1,0,2,193825.68756,1,7039992.8152,2.564568354473616,0
35,2,0,0,3,25559.431327,3,16983.801437,32.26093055684847,2
37,1,0,6,3,95847.867476,0,451625.17015,17.550520080201316,2
54,3,1,0,3,119277.34619,1,815015.34944,9.815382367485396,0
59,3,1,0,3,445160.09561,2,7013067.2763,2.2874788863331434,0
39,3,1,2,2,244944.55022,3,1970742.3253,11.91496703999075,2
63,3,1,1,2,191695.73495,2,5800589.5493,1.7252718486742102,0
50,3,1,1,3,70288.436149,2,79533.899412,14.01935518569334,2
66,3,1,0,1,64963.554623,2,700892.48857,0.7954992359956862,0
63,3,1,0,2,292868.48396,1,1313552.0575,3.4573228062413985,0
29,3,1,1,3,91587.962255,2,59753.984324,69.62199606096387,3
62,0,1,1,3,37274.170685,0,213540.23514,2.659454185352423,0
37,2,1,0,3,59638.673096,1,194588.79817,23.555173930551348,2
60,1,1,0,1,21299.526106,1,11319.082299,97.57556802992572,3
56,3,1,1,2,113952.46467,2,759507.31548,2.241513156008987,0
58,0,0,0,2,10649.763053,0,96569.480732,1.907316732691592,0
